user01,タジリユウ/中西達哉,タジリユウ/ナカニシタツヤ,9784803019971,"方位磁石、ファイアスターター、カラビナ…etc キャンプ用品は異世界でも大ウケです。 「駆け出し冒険者必見！　安全に快適に冒険したいあなたに」  休日にソロキャンプを楽しんでいたテツヤは、朝起きると異世界の森の中にいた。 駆け出し冒険者に助けられ、冒険者の始まりの街アレフレアに辿り着く。 ひょんなことから『アウトドアショップ』という能力が発現、キャンプ用品のカタログのようなウィンドウが現れた。 手持ちの金銭で購入でき、購入額が一定になると『アウトドアショップ』のレベルがあがって、キャンプ用品の種類が増えていくというものだった。 転移直後に助けられた恩から、テツヤは駆け出し冒険者のためになる仕事をしたいと思い立ち、アウトドアショップを開く。 すると、方位磁石、ファイアスターター、カラビナなど、あっという間に売れていき、ギルドや上位冒険者にも大人気で──！？",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9971/9784803019971_1_3.jpg?_ex=200x200,アース・スターエンターテイメント,2024年08月20日頃,アース・スターノベル,アウトドアショップin異世界店　冒険者の始まりの街でオープン！（1）,アウトドアショップインイセカイテンボウケンシャノハジマリノマチデオープン,
user01,内藤　騎之介/やすも,ナイトウ　キノスケ/ヤスモ,9784047348486,"闘病の末に命を落とした青年・火楽（ヒラク）は、 神様によって蘇生され、若返って異世界に転移した。 第二の人生、のんびり農業を楽しむために！  神様に授けられた『万能農具』を手に、自由気ままに異世界を切り拓く！ そこに天使や吸血鬼、エルフに竜まで現れて……。 あっという間に村になり、気付けば俺が村長に！？  スローライフ・農業ファンタジー、ここに開幕！",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8486/9784047348486_1_5.jpg?_ex=200x200,KADOKAWA,2017年10月30日頃,,異世界のんびり農家　01（1）,イセカイノンビリノウカ　ゼロイチ,
user01,FUNA/東西,フナ/トウザイ,9784063650273,"光波は、ある日崖から転落し中世ヨーロッパ程度の文明レベルである異世界へと転移してしまう。しかし、狼との死闘を経て地球との行き来ができることを知った光波は、2つの世界を行き来して生きることを決意する。その理由は老後の安泰のため！老後資金を計算すると、必要な資金は金貨8万枚！　異世界の文明が歪まない程度に（でも自分が楽できるなら自重はしない）、いろいろなものを持ち込んでお金儲けにまい進します！   山野光波は、ある日崖から転落し中世ヨーロッパ程度の文明レベルである異世界へと転移してしまう。しかし、狼との死闘を経て地球との行き来ができることを知った光波は、2つの世界を行き来して生きることを決意する。その理由は老後の安泰のため！ 貨幣価値と老後資金を計算すると、必要な資金は金貨8万枚！ 異世界の文明が歪まない程度に（でも自分が楽できるなら自重はしない！）、いろいろなものを持ち込んでお金儲けにまい進します！ それでも怪しまれたらーー転移しちゃえば大丈夫!? 第一章　ミツハ、異世界へ行く 第二章　野獣死すべし 第三章　野望の王国 第四章　仕込み 第五章　真珠が武器ならミツハは兵器！ 第六章　拠点確保 第七章　雑貨屋ミツハ 第八章　デビュタント 第九章　冒険者たち 書き下ろし　荒稼ぎ あとがき",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0273/9784063650273_1_12.jpg?_ex=200x200,講談社,2017年06月29日頃,,老後に備えて異世界で8万枚の金貨を貯めます,ロウゴニソナエテイセカイデハチマンマイノキンカヲタメマス,
user01,橘　由華/珠梨　やすゆき,タチバナ　ユカ/シュリ　ヤスユキ,9784040721859,20代半ばのOL、セイは異世界に召喚され……「こんなん聖女じゃない」と放置プレイされた！？　仕方なく研究所で働き始めたものの、常識外れの魔力で無双するセイにどんどん“お願い事”が舞い込んできて……？,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1859/9784040721859.jpg?_ex=200x200,KADOKAWA,2017年02月10日頃,カドカワBOOKS,聖女の魔力は万能です（1）,セイジョノマリョクハバンノウデス,
user01,FUNA/すきま,フナ/スキマ,9784063650228,"長瀬香は、世界のゆがみを調整する管理者の失敗により、肉体を失ってしまう。しかも、元の世界に戻すことはできず、より文明の遅れた世界へと転生することしかできないらしい。　放り出されてはたまらないと香が要求したのは「思った通りの効果のある薬品を、自由に生み出す能力」！　さらにアイテムボックスと言語理解能力と少し若返った身体を手に入れたカオル、生み出した薬品ーーポーションを使って安定した生活を目指します！   長瀬香は、世界のゆがみを調整する管理者の失敗により、肉体を失ってしまう。しかも、元の世界に戻すことはできず、より文明の遅れた世界へと転生することしかできないらしい。　そんなところに放り出されてはたまらないと香が要求したのは 『私が思った通りの効果のある薬品を、自由に生み出す能力』 さらにアイテムボックスと言語理解能力と少し若返った身体を手に入れた15歳の少女カオル、生み出した薬品ーーポーションを使って安定した生活を目指します！ 第一章　転生特典をお願いします！ 第二章　ポーション 第三章　大脱走 第四章　王　都 第五章　言いたい放題 第六章　雌　伏 第七章　御使い 書き下ろし　平穏な日々",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0228/9784063650228_1_6.jpg?_ex=200x200,講談社,2017年06月01日頃,,ポーション頼みで生き延びます！,ポーションダノミデイキノビマス,
user01,犬塚惇平,"イヌズカ,ジュンペイ",9784074113293,オフィス街に程近い商店街の一角、犬の看板が目印の雑居ビルの地下１階にその店はある。猫の絵が描かれた扉の食堂「洋食のねこや」。洋食屋といいながら、洋食以外のメニューも豊富なことが特徴といえば特徴のごく普通の食堂だ。しかし、「ある世界」の人たちにとっては、特別でオンリーワンな一軒に変わる。「ねこや」には一つの秘密がある。毎週土曜日の店休日、「ねこや」は“特別な客”で溢れ返るのだ。「土曜日の客たち」＝「ある世界の人たち」にとっては見たことも聞いたこともない料理ばかり。特別な絶品料理を出す「ねこや」は、「ある世界」の人たちからこう呼ばれているー「異世界食堂」。そして今週もまた、チリンチリンと鈴の音が響く。,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3293/9784074113293.jpg?_ex=200x200,主婦の友社,2015年02月,ヒーロー文庫,異世界食堂（1）,"イセカイ ショクドウ",
user02,伏瀬,フセ,9784896374599,何という事もない人生を送っていた三上悟は、通り魔に刺され３７年の人生に幕を閉じた…はずだった。ふと気がつくと、目も見えなければ、耳も聞こえない…。そんな状況の中、自分があの“スライム”に転生してしまった事に気づく。最弱と名高いモンスターである事に不満を感じつつも、お気楽スライムライフを満喫する三上悟だったが、天災級のモンスター“暴風竜ヴェルドラ”と出会ったことで運命は大きく動き出すー。ヴェルドラに“リムル”と名付けてもらい、スライムとして新たな異世界生活をスタートさせた矢先、ゴブリンと牙狼族との争いに巻き込まれ、いつしかモンスターたちの主として君臨することに…。相手の能力を奪う『捕食者』と世界の理を知る『大賢者』、二つのユニークスキルを武器に最強のスライム伝説が今始まる！,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4599/9784896374599.jpg?_ex=200x200,マイクロマガジン社,2014年06月,GCノベルズ,転生したらスライムだった件（1）,"テンセイシタラ スライム ダッタ ケン",
user02,愛七　ひろ/shri,アイナナ　ヒロ/シュリ,9784040728025,クーデター軍による飛空艇襲撃事件を解決し、王都に到着したサトゥー達。早速、王都を満喫しようとする一行だったが、サトゥーの活躍を聞きつけたシガ八剣の筆頭に決闘を挑まれてしまいーー!?,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8025/9784040728025.jpg?_ex=200x200,KADOKAWA,2019年03月09日頃,カドカワBOOKS,デスマーチからはじまる異世界狂想曲　16,デスマーチカラハジマルイセカイキョウソウキョク　16,
user02,リュート/鍋島　テツヒロ,リュート/ナベシマ　テツヒロ,9784040731926,凄腕FPSゲーマーである以外は普通の会社員だった佐藤孝弘は、突然ハマっていた宇宙ゲーに酷似した世界で目覚めた。ゲーム通りの装備で襲い来る賊もワンパン、無一文の美少女を救い出し……傭兵ヒロの冒険始まる！,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1926/9784040731926_1_3.jpg?_ex=200x200,KADOKAWA,2019年07月10日頃,カドカワBOOKS,目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい（1）,メザメタラサイキョウソウビトウチュウセンモチダッタノデ、イッコダテメザシテヨウヘイトシテジユウニイキタイ,
user02,吉岡　剛/菊池　政治,ヨシオカ　ツヨシ/キクチ　セイジ,9784047305861,事故で死んだはずの青年が、赤ん坊の姿で異世界に転生！　そして救国の英雄「賢者」マーリン・ウォルフォードに拾われた彼は、シンと名付けられる。孫として育てられたシンはマーリンの技術を吸収し、驚くべき力を習得するのだが、十五歳となった時に祖父は言った「常識を教えるの忘れとった」！　かくして常識と友達を得るためアールスハイド高等魔法学院に入学するシンだったがーー。《規格外》な少年の型破り異世界ファンタジーライフ、ここに開幕!!,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5861/9784047305861_1_3.jpg?_ex=200x200,KADOKAWA,2015年07月30日頃,ファミ通文庫,賢者の孫　常識破りの新入生,ケンジャノマゴ　ジョウシキヤブリノシンニュウセイ,
user02,冬原パトラ,"フユハラ,パトラ",9784798610184,神様の手違いで死んでしまった望月冬夜は、異世界で第二の人生をスタートさせる。彼にあるのは神様から底上げしてもらった身体と、異世界でも使用可能にしてもらったスマートフォン。持ち前の人の好さを発揮し、様々な人たちと出会い、大切な仲間を得ていく中で、いつしか主人公はこの世界の秘密を知る。古代文明の遺産を受け継いだり、お気楽な世界の王たちと力を合わせたりしながら、彼はのほほんと世界を巡っていくー。,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0184/9784798610184.jpg?_ex=200x200,ホビージャパン,2015年05月,HJ　NOVELS,異世界はスマートフォンとともに。（1）,"イセカイ ワ スマート フォン ト トモニ",
user02,東西/逢沢　大介,トウザイ/アイザワ　ダイスケ,9784047353022,"『我が名はシャドウ。陰に潜み、陰を狩る者……』 みたいな中二病設定を楽しんでいたら、まさかの現実に!?   主人公でも、ラスボスでもない。 普段は実力を隠してモブに徹し、物語に陰ながら介入して密かに実力を示す「陰の実力者」。 この「陰の実力者」に憧れ、日々モブとして目立たず生活しながら、 力を求めて修業していた少年は、事故で命を失い、異世界に転生した。  これ幸いと少年・シドは異世界で「陰の実力者」設定を楽しむために、 「妄想」で作り上げた「闇の教団」を倒すべく（おふざけで）暗躍していたところ、 どうやら本当に、その「闇の教団」が存在していて……？  ノリで配下にした少女たちは勘違いからシドを崇拝し、 シドは本人も知らぬところで本物の「陰の実力者」になっていき、 そしてシドが率いる陰の組織「シャドウガーデン」は、やがて世界の闇を滅ぼしていくーー。  『小説家になろう』の超人気作が、加筆修正の上、待望の単行本化！",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3022/9784047353022_1_3.jpg?_ex=200x200,KADOKAWA,2018年11月05日頃,,陰の実力者になりたくて！　01（1）,カゲノジツリョクシャニナリタクテ！　ゼロイチ,
user03,谷川　流/いとう　のいぢ,タニガワ　ナガル/イトウ　ノイヂ,9784044292010,校内一の変人・涼宮ハルヒが結成したSOS団（世界を大いに盛り上げるための涼宮ハルヒの団）。ただ者でない団員を従えた彼女には、本人も知らない重大な秘密があった!?　第8回スニーカー大賞〈大賞〉受賞作登場,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2010/9784044292010_1_34.jpg?_ex=200x200,KADOKAWA,2003年06月06日頃,角川スニーカー文庫,涼宮ハルヒの憂鬱,スズミヤハルヒノユウウツ,
user03,佐島　勤/石田　可奈,サトウ　ツトム/イシダ　カナ,9784048665070,"二〇九六年、七月。今年も、魔法科高校生にとって夏最大のイベントである全国魔法科高校親善魔法競技大会、通称『九校戦』が開催される。 　しかし今年の『九校戦』はひと味違っていた。競技種目及びルール改定。本番まで残すところ一ヶ月の段階でもたらされた何の前触れもない大幅変更に、魔法科高校各校は慌ただしい対応を迫られる。 　そんなある日、九校戦の作戦立案に当たっていた達也の許へ、匿名のメッセージが届けられる。それは、九校戦を舞台とした新たな陰謀の存在を示唆するものでーー。 　華やかな競技の裏で繰り広げられる暗闘。昼なお暗い富士の人工樹海を駆け抜ける達也が、背信の陰謀に挑む！",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5070/9784048665070_1_5.jpg?_ex=200x200,KADOKAWA,2014年04月,電撃文庫,"魔法科高校の劣等生（13） スティープルチェース編","マホウカコウコウノレットウセイ13 スティープルチェースヘン",
user01,甘岸久弥/景,アマギシヒサヤ/ケイ,9784040653075,"「もう、うつむくのはやめよう」 転生者である魔導具師のダリヤ・ロセッティは、決められた結婚相手からの手酷い婚約破棄をきっかけに、自分の好きなように生きていこうと決意する。 行きたいところに行き、食べたいものを食べ、何より大好きな“魔導具”を作りたいように作っていたら、なぜだか周囲が楽しいことで満たされていく。 「これも、君が作ったの!?」「この際だから商会、立ち上げない？」 ダリヤの作った便利な魔導具が異世界の人々を幸せにしていくにつれ、作れるものも作りたいものも、どんどん増えていってーー。 魔導具師ダリヤの、自由気ままなものづくりストーリーが今日ここからはじまる！",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3075/9784040653075_1_3.jpg?_ex=200x200,KADOKAWA,2018年10月25日頃,MFブックス,魔導具師ダリヤはうつむかない　〜今日から自由な職人ライフ〜　1,マドウグシダリヤハウツムカナイ　〜キョウカラジユウナショクニンライフ〜　1,
user02,理不尽な孫の手/シロタカ,リフジンナマゴノテ/シロタカ,9784040679464,"ルーデウスが一人で母親のゼニスを探し始め、数年が経過した。 冒険者として名前の売れたルーデウスのもとに、魔法大学から推薦状が届く!? 母を優先し、一度は入学を見送ろうと考えるルーデウスだったが、夢の中で「人神」にアドバイスを受け、魔法大学に行くことを決意する。 「俺のエレクティル・ディスファンクションは魔法大学で治るんですか人神様！」 無事に合格し入学するも、同じクラスになった特別生たちは問題児揃いで……!? 学園パート開始!!　人生やり直し型転生ファンタジー第八弾ここに登場！",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9464/9784040679464.jpg?_ex=200x200,KADOKAWA,2015年10月21日頃,MFブックス,無職転生　〜異世界行ったら本気だす〜　8,ムショクテンセイ　〜イセカイイッタラホンキダ゛ス〜　8,
user03,鎌池　和馬/灰村　キヨタカ,カマチ　カズマ/ハイムラ　キヨタカ,9784048663045,「超能力」が“一般科学”として認知された世界ーー。東京西部に位置する人口230万人弱の巨大都市。人口の約8割を学生が占めることから、「学園都市」と呼ばれていた。落第寸前の高校生・当麻は、ある日「魔術（オカルト）」の世界から逃げてきたというシスター姿の少女・インデックスに遭遇。最初は半信半疑だったが、二人の前に本当に魔術師が現れてーー!?,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3045/9784048663045_1_15.jpg?_ex=200x200,KADOKAWA,2004年04月10日頃,電撃文庫,とある魔術の禁書目録,トアルマジュツノインデックス,
user03,成田　良悟/ヤスダ　スズヒト,ナリタ　リョウゴ/ヤスダ　スズヒト,9784048668484,"「楽しみだなあ。楽しみだなあ。楽しみだなあ。この街は俺の知らない事がまだまだまだまだ溢れ、生まれ、消えていく。これだから人間の集まる街は離れられない！ 人、ラブ！ 俺は人間が好きだ！ 愛してる！」 　東京・池袋。そこにはキレた奴らが集う。非日常に憧れる少年、喧嘩上等のチンピラ、ストーカーもどきの電波娘、趣味で情報屋を営む青年、ヤバイ患者専門の闇医者、魔物に魅せられた高校生、そして漆黒のバイクを駆る“首なしライダー”。 そんな彼らが繰り広げる物語は痛快な程マトモじゃない。だが、彼らは歪んでいるけれどもーー恋だってするのだ。",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8484/9784048668484_1_2.jpg?_ex=200x200,KADOKAWA,2004年04月10日頃,電撃文庫,デュラララ！！,デュラララ！！,
user03,ぶんころり/カントク,ブンコロリ/カントク,9784040659329,"ペットショップで購入した可愛らしい文鳥は、異世界から転生した高名な賢者様だった。 世界を超える機会と強力な魔法の力を与えられ、佐々木は異世界へと現代の物品を持ち込み商売を開始する。 世界間を行き来しつつーーお金を稼ぎ、魔法の訓練をして、美味しい物を食べるーー悠々自適なスローライフを目指すが、ある日の会社からの帰り道で異能力者と遭遇してしまう。 賢者印の魔法で異能バトルを切り抜けるも、実力を見込まれて内閣府超常現象対策局にスカウトされ、晴れて国家公務員に転職が決まり……？ 異世界ファンタジー×異能バトル×年の差ラブコメ（？）。 さらには魔法少女、ご近所JC、同僚JK、貴族、ロリババア、王子etc... 属性ジャンル全部乗せでお贈りする、異世界と現代日本行ったり来たり物語。 MF文庫Jが放つ新文芸単行本として、遂に登場！",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9329/9784040659329.jpg?_ex=200x200,KADOKAWA,2021年01月25日頃,,佐々木とピーちゃん　異世界でスローライフを楽しもうとしたら、現代で異能バトルに巻き込まれた件　〜魔法少女がアップを始めたようです〜（1）,ササキトピーチャン　イセカイデスローライフヲタノシモウトシタラ、ゲンダイデイノウバトルニマキコマレタケン　〜マホウショウジョガアップヲハジメタヨウデス〜,
user03,白鳥士郎/西遊棋,"シラトリ,シロウ/サイユウキ",9784797384840,"玄関を開けると、JSがいたーー 「やくそくどおり、弟子にしてもらいにきました！」  16歳にして将棋界の最強タイトル保持者『竜王』となった九頭竜八一の自宅に 押しかけてきたのは、小学三年生の雛鶴あい。きゅうさい。 「え？ ……弟子？ え？」 「……おぼえてません？」  憶えてなかったが始まってしまったJSとの同居生活。ストレートなあいの情熱に、 八一も失いかけていた熱いモノを取り戻していくーー  『のうりん』の白鳥士郎最新作！ 監修に関西若手棋士ユニット『西遊棋』を迎え 最強の布陣で贈るガチ将棋押しかけ内弟子コメディ、今世紀最強の熱さでこれより対局開始!!",https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4840/9784797384840.jpg?_ex=200x200,SBクリエイティブ,2015年09月14日頃,GA文庫,りゅうおうのおしごと！,"リュウオウ ノ オシゴト",
user02,秤猿鬼,"ハカリ,エンキ",9784865540543,ＭＭＯＲＰＧプレイ中に寝落ちしてしまい、目覚めるとゲームキャラの姿で見知らぬ異世界に放り出されていた「アーク」。その姿とは、見た目は鎧、中身は全身骨格の骸骨騎士！？-正体がバレたら、モンスターと勘違いされて討伐対象になりかねない！目立たず傭兵として過ごすことを決意したアークだが、目の前の悪事は捨て置けなかった。襲撃された貴族の美少女たちを救出！軍隊出動レベルのモンスターを討伐！！さらには、盗賊たちを殲滅ー！？と、ゲームで鍛えたスキルで快刀乱麻の大活躍！そんなある日、彼はダークエルフの美女アリアンに雇われ、囚われたエルフ族の奪還作戦に協力することに。だが、その裏には王族の策謀が渦巻いておりー！？最強の骸骨騎士による無自覚“世直し”異世界ファンタジー、ここに参上！！,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0543/9784865540543.jpg?_ex=200x200,オーバーラップ,2015年06月,OVERLAP　NOVELS,骸骨騎士様、只今異世界へお出掛け中（1）,"ガイコツ キシサマ タダイマ イセカイ エ オデカケチュウ",
